DISCOUNT,DATE,QUANTITY
,9/1/2024,363
14,2/17/2024,364
,8/16/2024,221
65,6/1/2024,458
85,2/27/2024,134
,8/11/2024,348
,5/29/2024,351
78,4/9/2024,227
,3/11/2024,167
15,8/18/2024,246
14,7/31/2024,494
49,8/4/2024,394
38,7/7/2024,156
,1/20/2024,497
68,5/7/2024,353
,6/15/2024,341
85,5/22/2024,74
22,6/5/2024,201
,4/6/2024,444
22,8/19/2024,491
88,2/28/2024,159
52,6/25/2024,460
,7/14/2024,28
74,4/2/2024,284
,6/15/2024,435
30,8/29/2024,31
46,1/16/2024,83
,8/1/2024,41
61,5/18/2024,161
26,7/22/2024,476
,8/16/2024,167
88,6/17/2024,76
,7/12/2024,459
,8/17/2024,283
,7/26/2024,354
,5/9/2024,499
43,6/2/2024,73
23,6/24/2024,24
41,5/8/2024,444
,5/14/2024,406
35,1/28/2024,25
,9/8/2024,117
,5/4/2024,94
,7/14/2024,46
,9/11/2024,482
77,6/16/2024,265
33,5/11/2024,230
65,2/23/2024,401
36,4/30/2024,146
40,3/16/2024,226
,4/11/2024,41
19,7/15/2024,267
,3/5/2024,205
,5/23/2024,374
19,8/20/2024,76
56,4/10/2024,240
58,2/5/2024,128
,5/12/2024,248
,5/31/2024,436
,2/10/2024,173
,4/14/2024,210
73,6/25/2024,252
82,4/15/2024,277
80,8/25/2024,30
,7/20/2024,123
72,5/29/2024,465
39,3/28/2024,306
74,4/15/2024,38
29,7/26/2024,180
,9/10/2024,278
,1/16/2024,59
,7/4/2024,425
51,2/7/2024,150
43,1/14/2024,19
,6/27/2024,420
,1/11/2024,429
42,5/28/2024,186
,9/1/2024,270
,3/25/2024,326
68,3/21/2024,268
42,1/17/2024,47
76,1/24/2024,51
39,2/23/2024,33
,5/26/2024,287
37,8/22/2024,321
,9/7/2024,205
21,4/12/2024,337
77,6/24/2024,297
,2/16/2024,310
26,8/21/2024,123
48,6/10/2024,40
,7/16/2024,403
26,9/10/2024,198
30,6/15/2024,165
,3/13/2024,394
,2/5/2024,212
59,5/17/2024,143
,7/30/2024,68
85,6/18/2024,222
90,9/11/2024,429
56,2/13/2024,168
,6/30/2024,334
,8/21/2024,462
,2/27/2024,409
50,7/26/2024,473
51,6/29/2024,455
61,2/4/2024,59
60,2/9/2024,327
,7/28/2024,300
,8/26/2024,228
,2/9/2024,257
,5/3/2024,124
56,7/5/2024,165
,9/8/2024,487
,5/5/2024,126
,4/29/2024,16
79,3/18/2024,67
,3/1/2024,364
,7/9/2024,430
,6/3/2024,25
78,1/23/2024,154
18,5/6/2024,479
,3/3/2024,86
,1/29/2024,488
,8/24/2024,310
54,2/5/2024,102
40,2/4/2024,149
71,9/4/2024,469
23,6/30/2024,333
,6/15/2024,251
,5/30/2024,233
18,2/20/2024,136
,7/31/2024,78
14,1/6/2024,124
,2/20/2024,446
83,2/28/2024,400
,6/4/2024,361
,5/13/2024,34
27,3/23/2024,51
28,2/14/2024,460
32,6/23/2024,417
80,9/10/2024,265
90,5/1/2024,27
,8/23/2024,272
,5/19/2024,170
77,5/23/2024,388
,9/5/2024,80
,1/13/2024,166
78,8/20/2024,232
52,9/9/2024,16
,4/22/2024,388
77,7/1/2024,359
60,3/24/2024,166
,9/12/2024,39
,7/13/2024,254
87,6/9/2024,441
,8/28/2024,124
69,3/28/2024,27
62,2/7/2024,321
49,6/29/2024,154
,2/8/2024,171
81,4/16/2024,170
49,9/9/2024,414
12,6/13/2024,134
,5/6/2024,308
,3/18/2024,31
60,4/13/2024,274
,2/9/2024,106
,8/21/2024,276
,5/27/2024,246
65,1/28/2024,270
,1/24/2024,87
24,4/24/2024,393
,5/30/2024,282
44,8/30/2024,224
12,7/13/2024,423
,8/13/2024,24
78,3/3/2024,368
29,7/21/2024,152
21,2/10/2024,142
39,8/22/2024,428
75,2/6/2024,246
60,3/13/2024,24
,9/1/2024,335
,3/6/2024,408
,7/20/2024,78
13,2/29/2024,387
78,1/6/2024,301
,7/15/2024,295
38,1/25/2024,21
51,4/17/2024,111
80,2/18/2024,254
22,7/7/2024,371
83,1/30/2024,465
,2/11/2024,331
88,3/21/2024,115
,6/2/2024,145
68,4/10/2024,329
,5/14/2024,141
63,3/1/2024,39
76,6/2/2024,205
,6/8/2024,129
,7/4/2024,440
16,8/2/2024,259
57,2/6/2024,410
,2/14/2024,372
81,7/17/2024,30
,6/22/2024,324
,1/17/2024,455
80,7/29/2024,421
,2/16/2024,248
,5/29/2024,70
15,1/14/2024,311
,2/2/2024,392
,3/16/2024,23
,8/10/2024,291
,5/15/2024,405
,5/2/2024,224
19,4/21/2024,475
26,7/4/2024,463
88,1/19/2024,320
,5/23/2024,23
79,2/19/2024,204
,7/6/2024,213
,1/13/2024,281
,8/31/2024,393
31,2/8/2024,325
54,7/6/2024,189
54,7/9/2024,59
,9/8/2024,344
34,3/25/2024,274
44,8/5/2024,338
85,8/14/2024,293
,2/11/2024,303
14,2/14/2024,17
,6/15/2024,44
,5/30/2024,446
,1/27/2024,210
,2/7/2024,85
41,7/28/2024,75
33,5/5/2024,67
37,9/4/2024,338
,8/30/2024,126
16,6/16/2024,432
,4/5/2024,253
13,8/19/2024,471
,2/25/2024,483
,7/12/2024,232
14,6/20/2024,443
,2/19/2024,155
,2/9/2024,168
12,5/30/2024,365
,2/18/2024,137
,7/6/2024,180
49,8/23/2024,74
22,7/10/2024,71
,3/20/2024,254
86,2/23/2024,59
25,1/12/2024,457
34,7/4/2024,355
,8/18/2024,87
46,6/9/2024,109
30,6/3/2024,68
74,7/13/2024,200
,4/12/2024,372
,2/23/2024,361
,4/8/2024,180
,1/23/2024,30
73,3/11/2024,169
